iter	Logloss
0	0.6906274854
1	0.6885036586
2	0.6868561124
3	0.6847105111
4	0.6821036811
5	0.6802990881
6	0.6779331261
7	0.6753887881
8	0.6734262285
9	0.6709624811
10	0.6689257185
11	0.6666806237
12	0.6647471503
13	0.6622424963
14	0.6601707566
15	0.6576698517
16	0.6551858029
17	0.6527326374
18	0.650601534
19	0.6484153568
20	0.6462677389
21	0.6436942289
22	0.6414413546
23	0.6393570059
24	0.6372598652
25	0.6356787446
26	0.633489541
27	0.6317056885
28	0.6295252869
29	0.6277692704
30	0.6253191153
31	0.6230827197
32	0.6211669138
33	0.6194647918
34	0.6173648375
35	0.6149720533
36	0.6129152689
37	0.6106374131
38	0.608483746
39	0.6065600296
40	0.6042300231
41	0.6024617971
42	0.6010367843
43	0.5989045577
44	0.5970620331
45	0.5949813351
46	0.5928662595
47	0.5908687291
48	0.5886700596
49	0.586948198
50	0.5850902825
51	0.5831417823
52	0.581613101
53	0.5798036177
54	0.5779616019
55	0.5765118122
56	0.574678102
57	0.5735737407
58	0.5720641357
59	0.5706184397
60	0.5687447701
61	0.5666850881
62	0.5650387023
63	0.5632532601
64	0.561453432
65	0.5594675798
66	0.5574993729
67	0.556319069
68	0.5545264333
69	0.5529129806
70	0.5509554284
71	0.549309291
72	0.5477336257
73	0.5463873739
74	0.5448274795
75	0.543490649
76	0.5418155084
77	0.5401992892
78	0.5386516015
79	0.5370181971
80	0.5352726509
81	0.5336613776
82	0.5317454757
83	0.5307875329
84	0.5282332081
85	0.5267160111
86	0.5250872739
87	0.5232429739
88	0.5219045858
89	0.5203929708
90	0.5183333914
91	0.5168258236
92	0.5146699781
93	0.5133795953
94	0.511770189
95	0.5107210023
96	0.5086027515
97	0.5072111526
98	0.5056535915
99	0.5040224723
100	0.502472501
101	0.5010271456
102	0.4995549566
103	0.49791801
104	0.4967462387
105	0.4953130406
106	0.4941244895
107	0.4923592195
108	0.4910964955
109	0.4899193429
110	0.4882008775
111	0.4868178497
112	0.4854256673
113	0.4837838985
114	0.4822877521
115	0.4808482662
116	0.479910055
117	0.4785171577
118	0.4771288095
119	0.47616349
120	0.4746760439
121	0.4733644649
122	0.4721899686
123	0.4711782188
124	0.4696082646
125	0.4684548365
126	0.4672238396
127	0.4660282427
128	0.4650023408
129	0.4635839682
130	0.4622195151
131	0.4607337631
132	0.4594885756
133	0.4585090058
134	0.457353599
135	0.4559905234
136	0.4546415009
137	0.4535546201
138	0.4520706599
139	0.4507668794
140	0.4492368833
141	0.4482225638
142	0.446429877
143	0.4452862011
144	0.4441558662
145	0.4429448032
146	0.4417074148
147	0.440629212
148	0.4395092588
149	0.4379512528
150	0.436510901
151	0.4351434812
152	0.4338924164
153	0.4326205071
154	0.4312635266
155	0.4300118175
156	0.428896667
157	0.4279218828
158	0.4270671428
159	0.4258662644
160	0.4242767072
161	0.4226553785
162	0.4214053493
163	0.420232009
164	0.4189881254
165	0.4180211117
166	0.4168672849
167	0.4155192646
168	0.4143551731
169	0.4130430833
170	0.4120504428
171	0.4112281297
172	0.4102996832
173	0.4090839206
174	0.407990312
175	0.4066222714
176	0.4055980564
177	0.40431101
178	0.4034935924
179	0.4024683816
180	0.4013470629
181	0.4002650799
182	0.3992285963
183	0.398093722
184	0.3974558802
185	0.3961891215
186	0.3951974382
187	0.3940978391
188	0.393058423
189	0.3921154522
190	0.3912597698
191	0.3902247151
192	0.3891381206
193	0.3880117685
194	0.3868884023
195	0.3860840102
196	0.3851756119
197	0.383962862
198	0.382830377
199	0.3818023423
200	0.3808193764
201	0.379767769
202	0.378739588
203	0.3777848172
204	0.3767634934
205	0.3754028379
206	0.3746210433
207	0.3736303555
208	0.3728980553
209	0.3717456776
210	0.3709396059
211	0.3700370651
212	0.3690367404
213	0.3682441731
214	0.3675965199
215	0.366709372
216	0.3657222588
217	0.3651520059
218	0.3643269695
219	0.3635007662
220	0.3624335064
221	0.3615548212
222	0.3607212095
223	0.359887244
224	0.3589348253
225	0.3582042846
226	0.357277663
227	0.3563844931
228	0.3557675993
229	0.3548724652
230	0.3539438758
231	0.353005087
232	0.3520829716
233	0.3513140391
234	0.3503826543
235	0.3495715814
236	0.3488258867
237	0.3479345443
238	0.3471662632
239	0.3465691855
240	0.3457920329
241	0.3450548417
242	0.3439042118
243	0.3432001305
244	0.3425300476
245	0.3419628807
246	0.3413127535
247	0.340639917
248	0.3398519993
249	0.3389563141
250	0.3379008933
251	0.3372674076
252	0.3364623253
253	0.3357929084
254	0.334977595
255	0.3344003258
256	0.3335992235
257	0.3329605502
258	0.3322442612
259	0.3315831264
260	0.3306345051
261	0.3297753997
262	0.3287638432
263	0.3281683675
264	0.3272997433
265	0.3265189553
266	0.3255461334
267	0.3245239813
268	0.323795248
269	0.3230226359
270	0.3224664408
271	0.3216446404
272	0.3208339697
273	0.3200784431
274	0.3192733427
275	0.3182908088
276	0.3175489479
277	0.3167345747
278	0.315893123
279	0.315430863
280	0.3145082601
281	0.3136449759
282	0.3128975588
283	0.3122217185
284	0.311318323
285	0.3103029811
286	0.3097880361
287	0.3092444102
288	0.3085708403
289	0.3074796528
290	0.3066768453
291	0.3059101606
292	0.3052600614
293	0.304531601
294	0.3035776345
295	0.3030067083
296	0.3024726921
297	0.3019059482
298	0.3012054465
299	0.3004503904
300	0.2998665404
301	0.2991908725
302	0.2987563451
303	0.298258415
304	0.2975534206
305	0.2964193188
306	0.2956867794
307	0.2952381811
308	0.2946770328
309	0.2937225122
310	0.2932569306
311	0.2924902757
312	0.2919617889
313	0.2914004825
314	0.2908605256
315	0.2900589143
316	0.2895198904
317	0.2889175572
318	0.2882184091
319	0.2877183829
320	0.287176382
321	0.2864799321
322	0.2859019841
323	0.2853176391
324	0.2847697946
325	0.2841099249
326	0.2835999752
327	0.2832948136
328	0.2826711539
329	0.2821504085
330	0.2815610202
331	0.2811677229
332	0.2804248368
333	0.2797486579
334	0.279138597
335	0.2783908785
336	0.2778054737
337	0.2773039722
338	0.2769852638
339	0.2763169195
340	0.27573144
341	0.2751894263
342	0.2745579613
343	0.273926463
344	0.273331506
345	0.2727058819
346	0.2718828388
347	0.2714239112
348	0.2709088296
349	0.270274472
350	0.2699951931
351	0.2696795288
352	0.2689777472
353	0.2683690141
354	0.267628901
355	0.2670808273
356	0.2666459303
357	0.2661929789
358	0.2656091076
359	0.2649484459
360	0.2643455343
361	0.2637388902
362	0.2631204193
363	0.2625246408
364	0.2620996928
365	0.261523649
366	0.2608759818
367	0.260380697
368	0.2598751141
369	0.2593989887
370	0.2589413905
371	0.2582211533
372	0.2578336152
373	0.2573699712
374	0.2569048405
375	0.2564671878
376	0.2558423386
377	0.2552126688
378	0.2548525326
379	0.2542339675
380	0.2536193543
381	0.2529190994
382	0.2524659586
383	0.2520839294
384	0.2515798675
385	0.251094656
386	0.2506872546
387	0.2500379541
388	0.2496421206
389	0.2491764092
390	0.2488457745
391	0.2482967639
392	0.2475665616
393	0.2469829135
394	0.2463850329
395	0.2458200601
396	0.2453191482
397	0.2447394357
398	0.2441127569
399	0.2437591319
400	0.2432492937
401	0.2427715017
402	0.2423481132
403	0.2417677258
404	0.2412609325
405	0.2407959968
406	0.2402446625
407	0.239687638
408	0.2392930198
409	0.238824744
410	0.238318816
411	0.2378100728
412	0.2372804839
413	0.2368982779
414	0.2363979422
415	0.2359929035
416	0.2354982024
417	0.2348084432
418	0.2344634195
419	0.2341046375
420	0.2337269789
421	0.2332803454
422	0.2327817287
423	0.2321507919
424	0.2316252596
425	0.2311780081
426	0.2306048858
427	0.2302327422
428	0.2297142453
429	0.22920687
430	0.2285446386
431	0.2280440762
432	0.2274940774
433	0.2270420894
434	0.2267455473
435	0.2262913746
436	0.2259656799
437	0.225627646
438	0.2250537044
439	0.2247366153
440	0.2242827863
441	0.2238382696
442	0.2234808042
443	0.22307443
444	0.2227745361
445	0.2224212251
446	0.2220537642
447	0.2217331502
448	0.2213934168
449	0.2208210318
450	0.220365603
451	0.2198087572
452	0.2195221192
453	0.219105739
454	0.218673969
455	0.2182874329
456	0.2179608376
457	0.2175261862
458	0.2171466632
459	0.2165619193
460	0.2161368285
461	0.215715756
462	0.2153091113
463	0.2149653431
464	0.2144710001
465	0.2140820835
466	0.2137227561
467	0.2134106882
468	0.2130095821
469	0.2125970425
470	0.2122198207
471	0.2119290373
472	0.2116031199
473	0.211249387
474	0.2108110499
475	0.2104063104
476	0.2098904934
477	0.2094090738
478	0.2090552299
479	0.208676717
480	0.2082182588
481	0.2078682471
482	0.2074443943
