iter	Passed	Remaining
352	473	867
353	474	866
354	475	864
355	477	862
356	478	861
357	479	859
358	480	857
359	481	856
360	482	854
361	484	853
362	485	851
363	486	849
364	487	848
365	488	846
366	489	844
367	490	842
368	491	841
369	493	839
370	494	838
371	495	836
372	496	834
373	497	833
374	498	831
375	500	829
376	501	828
377	502	826
378	503	825
379	504	823
380	505	821
381	506	819
382	507	818
383	509	816
384	510	814
385	511	813
386	512	811
387	513	810
388	514	808
389	516	807
390	517	805
391	518	804
392	519	802
393	520	800
394	521	799
395	522	797
396	523	795
397	525	794
398	526	792
399	527	790
400	528	789
401	529	787
402	530	785
403	531	784
404	532	782
405	533	781
406	535	779
407	536	778
408	538	778
409	539	776
410	540	775
411	542	773
412	543	772
413	544	770
414	545	768
415	546	767
416	547	766
417	549	764
418	550	763
419	551	761
420	552	759
421	553	758
422	554	756
423	556	755
424	557	753
425	558	752
426	559	751
427	561	749
428	562	748
429	563	747
430	565	746
431	566	744
432	567	743
433	569	742
434	570	740
435	571	739
436	573	738
437	574	737
438	575	735
439	577	735
440	579	734
441	582	735
442	583	734
443	585	733
444	587	732
445	588	731
446	591	731
447	594	732
448	595	731
449	598	731
450	600	730
451	602	730
452	604	729
453	605	728
454	607	727
455	611	729
456	613	728
457	615	727
458	618	728
459	620	727
460	623	729
461	625	728
462	626	727
463	628	725
464	629	724
465	633	725
466	634	724
467	639	726
468	641	725
469	642	725
470	646	726
471	649	726
472	651	726
473	654	725
474	655	724
475	658	724
476	660	723
477	662	723
478	663	721
479	666	722
480	668	721
481	670	720
482	675	722
483	678	722
484	679	721
485	683	722
486	685	721
487	686	720
488	689	720
489	690	719
490	692	717
491	694	716
492	697	717
493	700	717
494	703	717
495	704	716
496	707	715
497	709	714
498	711	714
499	714	714
500	716	713
501	718	713
502	721	712
503	724	712
504	726	711
505	728	711
506	731	711
507	733	710
508	736	709
509	740	711
510	744	712
511	747	712
512	749	711
513	751	710
514	756	712
515	758	711
516	760	710
517	761	708
518	763	707
519	764	706
520	774	712
521	776	710
522	777	709
523	780	708
524	781	707
525	783	706
526	785	704
527	789	705
528	793	706
529	795	705
530	796	703
531	799	703
532	801	701
533	803	700
534	805	699
535	807	698
536	813	701
537	815	700
538	816	698
539	818	696
540	821	697
541	823	696
542	826	695
543	829	695
544	830	693
545	834	693
546	836	693
547	838	691
548	840	690
549	842	689
550	844	688
551	846	687
552	848	686
553	853	686
554	856	686
555	857	685
556	859	683
557	861	682
558	863	680
559	866	680
560	867	678
561	868	677
562	869	675
563	871	673
564	872	671
565	873	670
566	874	668
567	876	666
568	877	664
569	878	662
570	880	661
571	882	660
572	883	658
573	884	656
574	886	654
575	887	653
576	888	651
577	889	649
578	890	647
579	891	645
580	893	644
581	894	642
582	896	641
583	898	639
584	899	638
585	900	636
586	902	634
587	903	633
588	904	631
589	906	629
590	907	627
591	908	626
592	909	624
593	911	622
594	912	621
595	913	619
596	915	617
597	916	615
598	917	614
599	918	612
600	919	610
601	920	608
602	922	607
603	923	605
604	924	603
605	925	601
606	927	600
607	927	598
608	928	596
609	930	594
610	931	592
611	932	591
612	933	589
613	935	587
614	936	586
615	938	584
616	939	583
617	940	581
618	941	579
619	943	578
620	944	576
621	945	574
622	946	572
623	947	571
624	949	569
625	950	567
626	951	566
627	952	564
628	953	562
629	954	560
630	956	559
631	957	557
632	958	555
633	959	554
634	961	552
635	962	550
636	963	549
637	964	547
638	965	545
639	967	544
640	968	542
641	969	540
642	970	538
643	971	537
644	973	535
645	975	534
646	976	532
647	977	531
648	978	529
649	979	527
650	981	526
651	982	524
652	983	522
653	984	520
654	985	519
655	987	517
656	988	516
657	989	514
658	991	512
659	992	511
660	994	509
661	995	508
662	996	506
663	997	504
664	998	503
665	999	501
666	1001	499
667	1002	498
668	1003	496
669	1005	495
670	1006	493
671	1008	492
672	1009	490
673	1010	488
674	1012	487
675	1013	485
676	1014	484
677	1015	482
678	1017	480
679	1018	479
680	1020	477
681	1021	476
682	1022	474
683	1023	472
684	1024	471
685	1026	469
686	1027	467
687	1028	466
688	1029	464
689	1030	462
690	1031	461
691	1033	459
692	1034	458
693	1036	456
694	1037	455
695	1038	453
696	1039	452
697	1040	450
698	1042	448
699	1043	447
700	1044	445
701	1045	443
702	1047	442
703	1048	440
704	1049	439
705	1050	437
706	1052	436
707	1053	434
708	1054	432
709	1055	431
710	1057	429
711	1058	428
712	1059	426
713	1060	424
714	1062	423
715	1063	421
716	1064	420
717	1066	418
718	1067	417
719	1069	415
720	1070	414
721	1071	412
722	1072	410
723	1073	409
724	1074	407
725	1076	406
726	1077	404
727	1078	402
728	1079	401
729	1080	399
730	1082	398
731	1083	396
732	1084	395
733	1085	393
734	1086	391
735	1087	390
736	1088	388
737	1089	386
738	1091	385
739	1092	383
740	1093	382
741	1094	380
742	1095	378
743	1096	377
744	1098	376
745	1099	374
746	1100	372
747	1102	371
748	1103	369
749	1104	368
750	1105	366
751	1106	365
752	1108	363
753	1109	361
754	1110	360
755	1111	358
756	1113	357
757	1114	355
758	1116	354
759	1117	352
760	1118	351
761	1120	349
762	1121	348
763	1122	346
764	1123	345
765	1124	343
766	1125	342
767	1127	340
768	1128	339
769	1129	337
770	1131	336
771	1132	334
772	1133	332
773	1135	331
774	1136	329
775	1137	328
776	1138	326
777	1140	325
778	1141	323
779	1142	322
780	1144	320
781	1145	319
782	1147	317
783	1148	316
784	1149	314
785	1151	313
786	1152	312
787	1154	310
788	1156	309
789	1157	307
790	1159	306
791	1161	304
792	1163	303
793	1164	302
794	1165	300
795	1167	299
796	1169	297
797	1171	296
798	1172	295
799	1174	293
800	1177	292
801	1179	291
802	1180	289
803	1182	288
804	1183	286
805	1185	285
806	1187	284
807	1189	282
808	1191	281
809	1193	279
810	1195	278
811	1197	277
812	1199	275
813	1200	274
814	1202	273
815	1204	271
816	1206	270
817	1209	269
818	1210	267
819	1212	266
820	1213	264
821	1215	263
822	1217	261
823	1218	260
824	1221	259
825	1223	257
826	1224	256
827	1226	254
828	1228	253
829	1230	251
830	1231	250
831	1233	248
832	1235	247
833	1237	246
834	1238	244
835	1240	243
836	1242	241
837	1243	240
838	1245	239
839	1247	237
840	1249	236
841	1251	234
842	1253	233
843	1255	231
844	1256	230
845	1258	229
846	1260	227
847	1262	226
848	1263	224
849	1265	223
850	1267	221
851	1269	220
852	1271	219
853	1273	217
854	1274	216
855	1276	214
856	1278	213
857	1279	211
858	1281	210
859	1283	208
860	1285	207
861	1287	206
862	1288	204
863	1290	203
864	1292	201
865	1294	200
866	1296	198
867	1298	197
868	1300	195
869	1301	194
870	1303	193
871	1304	191
872	1306	190
873	1308	188
874	1310	187
875	1311	185
876	1313	184
877	1314	182
878	1315	181
879	1316	179
880	1317	178
881	1319	176
882	1320	174
883	1321	173
884	1322	171
885	1323	170
886	1325	168
887	1326	167
888	1327	165
889	1328	164
890	1329	162
891	1330	161
892	1332	159
893	1333	158
894	1334	156
895	1335	155
896	1336	153
897	1337	151
898	1339	150
899	1340	148
900	1341	147
901	1342	145
902	1343	144
903	1344	142
904	1346	141
905	1347	139
906	1348	138
907	1349	136
908	1350	135
909	1351	133
910	1353	132
911	1354	130
912	1355	129
913	1356	127
914	1358	126
915	1359	124
916	1360	123
917	1362	121
918	1363	120
919	1364	118
920	1365	117
921	1366	115
922	1367	114
923	1369	112
924	1370	111
925	1371	109
926	1372	108
927	1373	106
928	1375	105
929	1376	103
930	1377	102
931	1379	100
932	1380	99
933	1381	97
934	1382	96
935	1383	94
936	1384	93
937	1385	91
938	1387	90
939	1388	88
940	1389	87
941	1390	85
942	1391	84
943	1393	82
944	1394	81
945	1396	79
946	1397	78
947	1398	76
948	1399	75
949	1400	73
950	1401	72
951	1403	70
952	1404	69
953	1405	67
954	1406	66
955	1408	64
956	1409	63
957	1410	61
958	1411	60
959	1412	58
960	1413	57
961	1415	55
962	1416	54
963	1417	52
964	1418	51
965	1419	49
966	1421	48
967	1422	47
968	1424	45
969	1425	44
970	1426	42
971	1428	41
972	1429	39
973	1430	38
974	1432	36
975	1434	35
976	1436	33
977	1438	32
978	1440	30
979	1441	29
980	1442	27
981	1444	26
982	1445	24
983	1446	23
984	1448	22
985	1448	20
986	1453	19
987	1456	17
988	1457	16
989	1458	14
990	1460	13
991	1461	11
992	1462	10
993	1464	8
994	1465	7
995	1468	5
996	1470	4
997	1473	2
998	1474	1
999	1476	0
